gid,pid,play_action,quarter,time_remaining,down,yards_to_go,yardsToEndzone,yards_gained,home_score,away_score,offense_team,defense_team,gametime_remaining,score_diff,home_wins,offense_strength,defense_strength
401326569,40132656961,(15:00) M.Ryan pass short left to K.Pitts to ATL 33 for 8 yards (M.Milano).,1,900.0,1,10,75,8,0,0,1,2,3600.0,0,1,0.35,0.7727272727272727
401326569,40132656985,"(14:15) C.Patterson left guard to ATL 35 for 2 yards (T.Edmunds, J.Poyer).",1,855.0,2,2,67,2,0,0,1,2,3555.0,0,1,0.35,0.7727272727272727
401326569,401326569106,(13:34) (Shotgun) M.Ryan pass short left to C.Patterson to 50 for 15 yards (M.Milano).,1,814.0,1,10,65,15,0,0,1,2,3514.0,0,1,0.35,0.7727272727272727
401326569,401326569130,(12:47) Q.Ollison right tackle to BUF 46 for 4 yards (T.Johnson).,1,767.0,1,10,50,4,0,0,1,2,3467.0,0,1,0.35,0.7727272727272727
401326569,401326569151,(12:07) M.Ryan pass short right to O.Zaccheaus pushed ob at BUF 46 for no gain (M.Hyde).,1,727.0,2,6,46,0,0,0,1,2,3427.0,0,1,0.35,0.7727272727272727
401326569,401326569175,(11:24) (Shotgun) M.Ryan pass incomplete deep right to K.Pitts (D.Jackson) [E.Obada].,1,684.0,3,6,71,0,0,0,1,2,3384.0,0,1,0.35,0.7727272727272727
401326569,401326569203,Jake Kumerow tackled in end zone for a Safety,1,664.0,4,6,46,0,0,2,1,2,3364.0,-2,1,0.35,0.7727272727272727
401326569,401326569294,"(10:58) M.Davis left tackle to ATL 36 for 3 yards (L.Wallace, T.Edmunds).",1,658.0,1,10,67,3,0,2,1,2,3358.0,-2,1,0.35,0.7727272727272727
401326569,401326569315,(10:18) (Shotgun) M.Ryan pass incomplete deep left to R.Gage [H.Phillips].,1,618.0,2,7,41,0,0,2,1,2,3318.0,-2,1,0.35,0.7727272727272727
401326569,401326569337,(10:11) (Shotgun) M.Ryan sacked at ATL 29 for -7 yards (T.Johnson).,1,611.0,3,7,64,-7,0,2,1,2,3311.0,-2,1,0.35,0.7727272727272727
401326569,401326569356,"(9:33) T.Morstead punts 40 yards to BUF 31, Center-J.Harris, out of bounds.",1,565.0,4,14,71,0,0,2,1,2,3265.0,-2,1,0.35,0.7727272727272727
401326569,401326569374,(9:25) (Shotgun) J.Allen pass short right to C.Beasley to BUF 44 for 13 yards (D.Jones).,1,565.0,1,10,69,13,0,2,2,1,3265.0,-2,1,0.7727272727272727,0.35
401326569,401326569404,"(8:47) (Shotgun) J.Allen pass short right to G.Davis to ATL 41 for 15 yards (F.Oluokun, S.Williams).",1,527.0,1,10,56,15,0,2,2,1,3227.0,-2,1,0.7727272727272727,0.35
401326569,401326569428,(8:01) (Shotgun) J.Allen pass incomplete short right to D.Singletary. Pressure on QB: 92-A.Ogundeji.,1,481.0,1,10,3,0,0,2,2,1,3181.0,-2,1,0.7727272727272727,0.35
401326569,401326569454,(7:56) (Shotgun) J.Allen pass short right to S.Diggs pushed ob at ATL 30 for 11 yards (A.Terrell).,1,475.0,2,10,41,11,0,2,2,1,3175.0,-2,1,0.7727272727272727,0.35
401326569,401326569483,(7:20) (Shotgun) J.Allen pass incomplete short right to D.Knox.,1,439.0,1,10,1,0,0,2,2,1,3139.0,-2,1,0.7727272727272727,0.35
401326569,401326569509,(7:14) (Shotgun) J.Allen pass incomplete short middle to C.Beasley.,1,434.0,2,10,65,0,0,2,2,1,3134.0,-2,1,0.7727272727272727,0.35
401326569,401326569532,(7:10) (Shotgun) J.Allen pass short left to G.Davis to ATL 15 for 15 yards (S.Williams).,1,430.0,3,10,30,15,0,2,2,1,3130.0,-2,1,0.7727272727272727,0.35
401326569,401326569556,(6:30) (Shotgun) J.Allen scrambles right end pushed ob at ATL 9 for 6 yards (F.Oluokun).,1,390.0,1,10,15,6,0,2,2,1,3090.0,-2,1,0.7727272727272727,0.35
401326569,401326569582,(5:54) (Shotgun) D.Singletary right tackle to ATL 9 for no gain (D.Fowler).,1,354.0,2,4,9,0,0,2,2,1,3054.0,-2,1,0.7727272727272727,0.35
401326569,401326569603,(5:17) (Shotgun) J.Allen pass short right to S.Diggs to ATL 4 for 5 yards (A.Terrell).,1,317.0,3,4,9,5,0,2,2,1,3017.0,-2,1,0.7727272727272727,0.35
401326569,401326569632,"(4:31) (Shotgun) J.Allen pass incomplete short right to D.Knox. PENALTY on BUF-S.Brown, Ineligible Downfield Pass, 5 yards, enforced at ATL 4 - No Play.",1,271.0,1,4,4,-5,0,2,2,1,2971.0,-2,1,0.7727272727272727,0.35
401326569,401326569654,(4:27) (Shotgun) J.Allen pass short left to I.McKenzie to ATL 3 for 6 yards (D.Jones).,1,267.0,1,9,9,6,0,2,2,1,2967.0,-2,1,0.7727272727272727,0.35
401326569,401326569690,(3:39) J.Allen pass incomplete short right to S.Diggs (D.Harmon) [D.Fowler].,1,219.0,2,3,18,0,0,2,2,1,2919.0,-2,1,0.7727272727272727,0.35
401326569,401326569712,(3:33) (Shotgun) J.Allen pass incomplete short left to S.Diggs.,1,212.0,3,3,18,0,0,2,2,1,2912.0,-2,1,0.7727272727272727,0.35
401326569,401326569734,"(3:29) (Shotgun) J.Allen pass incomplete short right to S.Diggs. PENALTY on ATL-A.Terrell, Defensive Pass Interference, 2 yards, enforced at ATL 3 - No Play.",1,209.0,4,3,3,2,0,2,2,1,2909.0,-2,1,0.7727272727272727,0.35
401326569,401326569767,(3:25) D.Dawkins reported in as eligible.  J.Allen pass incomplete short left to D.Dawkins.,1,205.0,1,1,18,0,0,2,2,1,2905.0,-2,1,0.7727272727272727,0.35
401326569,401326569789,"Josh Allen 1 Yard Rush T.Bass extra point is GOOD, Center-R.Ferguson, Holder-M.Haack.",1,195.0,2,1,1,1,7,2,2,1,2895.0,5,1,0.7727272727272727,0.35
401326569,401326569852,(3:15) M.Davis left tackle to ATL 25 for no gain (E.Oliver; H.Phillips).,1,195.0,1,10,75,0,7,2,1,2,2895.0,5,1,0.35,0.7727272727272727
401326569,401326569873,"(2:35) (Shotgun) M.Ryan sacked at ATL 18 for -7 yards (G.Rousseau). FUMBLES (G.Rousseau) [G.Rousseau], RECOVERED by BUF-H.Phillips at ATL 18.",1,147.0,2,10,75,0,7,2,1,2,2847.0,5,1,0.35,0.7727272727272727
401326569,401326569908,(2:27) (Shotgun) J.Allen pass incomplete short left to C.Beasley.,1,147.0,1,10,65,0,7,2,2,1,2847.0,5,1,0.7727272727272727,0.35
401326569,401326569930,"(2:21) J.Allen pass incomplete short right [N.Thurman]. Thrown away, under pressure.",1,141.0,2,10,65,0,7,2,2,1,2841.0,5,1,0.7727272727272727,0.35
401326569,401326569956,"(2:15) (Shotgun) J.Allen pass incomplete short left to G.Davis. Buffalo challenged the incomplete pass ruling, and the play was REVERSED. (Shotgun) J.Allen pass short left to G.Davis ran ob at ATL 8 for 10 yards.",1,135.0,3,10,18,10,7,2,2,1,2835.0,5,1,0.7727272727272727,0.35
